id,name,loan1011,loan0910,loan0809,loan0708,loan0607,loan0506,loan0405,loan0304,loan0203,loan0102,loan0001,loan9900,TF9900,TF1011,,TF0910,,TF0809,,TF0708,,TF0607,,TF0506,,TF0405,,TF0304,,TF0203,,TF0102,,TF0001,,TotalEnrollment
Denmark,DNK,5140939,5154298,5171370,5188628,5206180,5233373,5263074,5284991,5304219,5321799,5339616,5358783,5375931,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,18216,19044,19794,20198,21656,22661,23711,24926,25814,26654,28662,29450
Dominican Republic,DOM,7133494,7270409,7408342,7546463,7683707,7819247,7952763,8084407,8214426,8343283,8471321,8598601,8724975,8974444,9097257,9218686,9338861,9458075,9576737,9695121,9813210,9930911,10048224,10165178,3579,3665,4091,4414,4543,4817,5111,5569,5915,6259,6596,6804
Algeria,DZA,25758869,26400479,27028326,27635515,28213774,28757785,29266405,29742979,30192754,30623406,31042235,31451514,31855109,32692163,33149724,33641002,34166972,34730608,35333881,35977455,36661444,37383887,38140132,38923687,6683,6660,6773,6639,6582,6843,7128,7213,7552,7795,8162,8481
Ecuador,ECU,10230934,10472475,10716129,10961466,11208001,11455204,11703174,11951452,12198449,12442115,12681123,12914667,13143465,13596388,13825847,14059384,14296557,14535739,14774424,15011117,15243883,15474102,15707474,15951838,4843,5101,5206,5313,5533,5652,5731,5956,6094,5773,5854,6110
"Egypt, Arab Rep.",EGY,56134475,57424549,58666814,59880658,61095804,62334034,63601629,64892270,66200269,67515591,68831561,70152661,71485043,74172073,75523569,76873663,78232126,79636079,81134798,82761235,84529250,86422240,88404640,90424654,3827,3911,4091,4222,4394,4601,4821,5071,5307,5598,5972,6199
Eritrea,ERI,2258653,2266358,2257596,2238626,2218430,2204222,2196464,2195179,2206432,2237405,2292416,2374722,2481058,2719803,2826659,2918205,2996536,3062779,3119920,3170435,3213972,0,0,0,0,0,1053,1233,1541,1629,1818,1997,2045,2046,1978,2122
Spain,ESP,38867322,38966376,39157685,39361262,39549108,39724050,39889852,40057389,40223509,40386875,40567864,40850412,41431558,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,13627,14410,14803,14920,15527,16218,16916,17869,19029,19907,21534,22911
Estonia,EST,1569174,1561314,1533091,1494128,1462514,1436634,1415594,1399535,1386156,1390244,1396985,1388115,1379350,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,0,0,0,0,0,6284,6826,7842,8366,8368,9421,10303
Ethiopia,ETH,47887865,49609969,51423585,53295566,55180998,57047908,58883530,60697443,62507724,64343013,66224804,68159423,70142091,74239505,76346311,78489206,80674348,82916235,85233913,87639964,90139927,92726971,95385785,98094253,425,394,355,396,404,423,469,477,453,469,494,532
Finland,FIN,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,18149,17557,17263,17458,18453,19558,20058,21779,23559,24769,26753,27771
