Country Name, Country Code, p1990, p1991, p1992, p1993, p1994, p1995, p1996, p1997, p1998, p1999, p2000, p2001, p2002, p2003, p2004, p2005, p2006, p2007, p2008, p2009, p2010, p2011, p2012, p2013, p2014, g1990, g1991, g1992, g1993, g1994, g1995, g1996, g1997, g1998, g1999, g2000, g2001, g2002, g2003, g2004, g2005, g2006, g2007, g2008, g2009, g2010, g2011, g2012, g2013, g2014, ghg1990, ghg1991,ghg1992,ghg1993,ghg1994,ghg1995,ghg1996,ghg1997,ghg1998,ghg1999,ghg2000,ghg2001,ghg2002,ghg2003,ghg2004,ghg2005,ghg2006,ghg2007,ghg2008,ghg2009,ghg2010,ghg2011,ghg2012,ghg2013,ghg2014 
Cote d'Ivoire,CIV,11924877,12362407,12812421,13271643,13735433,14199762,14665127,15130663,15589414,16032573,16454668,16853026,17231539,17599610,17970494,18354514,18754916,19171237,19605569,20059147,20532950,21028655,21547188,22087505,22647683,2132,2127,2094,2065,2055,2174,2309,2362,2433,2438,2379,2376,2321,2284,2325,2388,2444,2498,2554,2597,2618,2495,2748,2970,3211,23.3747,23.9943,24.4827,25.0909,26.1029,26.7178,26.0809,26.0654,24.7427,25.3163,23.9464,24.2816,25.6383,24.5056,24.3785,26.3927,26.3375,26.4939,27.731,27.532,28.8449,28.8764,31.2382,33.0563,33.7401
Cameroon,CMR,11780088,12137912,12499499,12864090,13230984,13599988,13970813,14344449,14723768,15112592,15513945,15928910,16357602,16800865,17259322,17733410,18223674,18730282,19252666,19789919,20341241,20906388,21485266,22077298,22681858,1949,1881,1811,1658,1682,1728,1788,1864,1919,1978,2040,2119,2185,2266,2419,2476,2568,2692,2763,2768,2818,2914,3021,3154,3312,75.2891,74.9645,74.9059,79.0696,79.7501,79.5812,78.7451,79.469,80.7341,80.753,82.4335,81.8115,81.3611,82.2653,81.5427,83.0509,82.7123,83.7133,82.8321,83.3899,82.5208,82.6645,82.2881,83.2755,83.1379
"Congo, Rep.",COG,2356737,2422305,2489952,2559873,2632345,2707537,2785810,2867280,2951647,3038433,3127411,3217933,3310387,3406922,3510468,3622775,3745141,3876119,4011486,4145391,4273731,4394844,4510198,4622761,4736974,3454,3558,3632,3581,3362,3470,3581,3518,3585,3441,3677,3791,3915,3906,4028,4337,4592,4484,4663,4886,5215,5354,5519,5668,6018,2.6054,4.847,4.7874,4.7732,4.5623,4.7205,4.4547,5.0769,5.0307,4.7734,4.5534,4.4521,4.4861,4.9567,4.7886,6.988,7.2454,7.2827,7.5829,7.7321,7.3315,7.3066,7.5893,6.9841,6.9983
Colombia,COL,33102575,33758337,34422569,35091275,35758979,36421438,37076387,37723800,38364309,38999471,39629968,40255967,40875360,41483869,42075955,42647723,43200897,43737516,44254975,44750054,45222700,45663099,46076848,46497267,46969209,5016,5186,5412,5728,6075,6406,6540,6763,6763,6465,6695,6848,7023,7324,7811,8321,9036,9793,10188,10274,10733,11650,12226,12891,13618,116.6519,118.4205,121.978,125.916,127.883,130.9327,131.8528,135.9924,137.7688,128.6213,132.0068,132.2259,131.1788,132.7604,133.9722,138.8471,139.7764,143.5525,144.4866,148.6653,151.6834,154.6902,152.1934,159.5837,162.8699
Comoros,COM,411594,423872,436448,449274,462277,475394,488627,501953,515385,528848,542357,555888,569479,583211,597228,611627,626425,641620,657229,673252,689692,706569,723871,741505,759390,1675,1590,1714,1756,1651,1699,1661,1711,1707,1720,1901,1939,1968,1998,2042,2115,2183,2207,2284,2318,2377,2465,2531,2627,2669,0.2324,0.237,0.2403,0.2512,0.2481,0.2569,0.2694,0.274,0.301,0.2999,0.3018,0.3031,0.3146,0.3378,0.3507,0.3273,0.3648,0.2894,0.3124,0.3409,0.3803,0.3679,0.3813,0.4185,0.3978
Cabo Verde,CPV,337950,346230,355757,366053,376407,386284,395533,404259,412514,420452,428188,435709,442951,449930,456617,463032,469170,475060,480842,486671,492654,498856,505235,511748,518269,1088,1113,1229,1329,1574,1788,1980,2190,2442,2703,3101,3184,3348,3498,3900,4240,4656,5438,5841,5741,5822,6102,6207,6286,6363,0.2162,0.2283,0.2632,0.269,0.2531,0.2858,0.2737,0.2896,0.3147,0.3447,0.371,0.3945,0.4347,0.4693,0.4998,0.6195,0.6665,0.7123,0.6912,0.7537,0.7947,0.7666,0.6593,0.6549,0.6488
Costa Rica,CRI,3119433,3202085,3286520,3372298,3458834,3545534,3632362,3718949,3803887,3885430,3962372,4034074,4100925,4164053,4225155,4285502,4345412,4404628,4463125,4520740,4577378,4633086,4688000,4742107,4795396,5026,5176,5632,6017,6261,6493,6534,6853,7247,7481,7787,8090,8350,8732,9221,9737,10610,11626,12241,12059,12645,13303,14042,14446,15067,8.2916,8.5565,9.6653,9.7097,10.1375,9.735,9.5639,9.6174,10.2894,10.0755,9.8896,10.2393,10.2118,10.6394,10.7561,11.498,11.6168,13.0157,13.1399,12.9547,12.858,13.3082,13.3446,13.7769,13.8976
Cuba,CUB,10596987,10673542,10736387,10789306,10838462,10888252,10939293,10989732,11038692,11084670,11126430,11164667,11199651,11229183,11250365,11261582,11261248,11251122,11236971,11226709,11225832,11236670,11257101,11282720,11306902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0702,44.3786,38.6556,35.1193,36.5711,37.4095,40.0188,42.6925,42.3262,42.8962,43.4051,42.3856,40.9798,40.2177,39.6888,39.9685,40.9096,42.0345,41.4902,45.7585,49.0899,46.7181,47.5771,46.5085,46.8277
Cyprus,CYP,766615,783124,800611,818746,837110,855383,873423,891190,908702,926046,943290,960276,976964,993563,1010408,1027662,1045507,1063713,1081563,1098083,1112612,1124833,1135046,1143866,1152285,13315,13512,14722,14815,15696,17070,17297,17779,18759,19663,21291,22871,23556,24253,25921,27763,29984,32850,34824,33888,33231,33192,31915,30621,30391,5.0532,5.6093,5.9653,6.1466,6.348,6.2406,6.5573,6.6297,7.1381,7.3852,7.7236,7.6213,7.8572,8.6834,8.5788,8.769,8.8035,9.1812,9.3564,9.0863,8.8112,8.4961,7.9403,6.9364,7.0222
Czech Republic,CZE,10333355,10308578,10319123,10329855,10333587,10327253,10315241,10304131,10294373,10283860,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,12660,11596,11788,12062,12673,13753,14583,14731,14906,15324,16191,17554,18189,19426,20799,21956,23776,26125,27845,27599,27667,28797,29047,30486,32263,181.0566,164.8315,158.3562,153.4895,145.9676,145.4959,147.042,144.3961,137.8697,130.5493,141.6226,141.6084,136.5724,140.8975,141.6378,138.204,138.7436,141.5069,135.9195,128.3928,130.5169,129.9681,125.4874,120.9859,116.7703
