Country Name, Country Code, p1990, p1991, p1992, p1993, p1994, p1995, p1996, p1997, p1998, p1999, p2000, p2001, p2002, p2003, p2004, p2005, p2006, p2007, p2008, p2009, p2010, p2011, p2012, p2013, p2014, g1990, g1991, g1992, g1993, g1994, g1995, g1996, g1997, g1998, g1999, g2000, g2001, g2002, g2003, g2004, g2005, g2006, g2007, g2008, g2009, g2010, g2011, g2012, g2013, g2014, ghg1990, ghg1991,ghg1992,ghg1993,ghg1994,ghg1995,ghg1996,ghg1997,ghg1998,ghg1999,ghg2000,ghg2001,ghg2002,ghg2003,ghg2004,ghg2005,ghg2006,ghg2007,ghg2008,ghg2009,ghg2010,ghg2011,ghg2012,ghg2013,ghg2014 
"Micronesia, Fed. Sts.",FSM,96301,98770,101389,103915,106030,107529,108321,108480,108208,107781,107402,107173,107030,106901,106625,106129,105371,104444,103543,102975,102911,103450,104506,105926,107446,1766.31329052392,1912.63549170913,1982.07151872532,2140.87132267122,2131.51614596783,2297.88706631815,2250.57642695878,2147.36501684651,2241.33844491566,2314.29373474044,2482.72628039115,2587.02852142915,2647.24643432156,2752.21993857771,2744.91730331002,2902.13481462525,3007.53154711315,3054.58952059748,3071.44145555678,3148.56089935389,3252.31016516197,3413.50038953027,3375.29838903907,3257.74437920381,3201.86403219364,,,0.1083,0.108,0.1114,0.1613,0.1616,0.1655,0.1724,0.1652,0.1799,0.2249,0.1994,0.1997,0.1996,0.1778,0.1781,0.1971,0.1757,0.2201,0.1727,0.1813,0.1964,0.2047,0.1803
Gabon,GAB,949488,975783,1002579,1029778,1057255,1084946,1112955,1141338,1170061,1199052,1228360,1258003,1288315,1319953,1353795,1390549,1430152,1472575,1518540,1568928,1624140,1684635,1749682,1817071,1883800,12690.8193471039,13546.7887628723,13068.478502653,13538.7875229422,13968.5719179519,14588.7140707165,15006.9494546242,15740.3160044805,16066.7234214371,14483.9212963107,14182.2303354807,14453.9672197063,14301.4324322621,14537.3885173176,14655.9453914018,15106.7781499757,14708.233759528,15549.5132195407,14863.5683793899,14514.7729871491,15190.4144125575,16011.1245045144,16536.5659575518,17116.3436463793,17548.2712911998,6.6554,6.9009,7.1885,7.312,7.0675,7.2441,7.0445,6.9078,6.7285,6.3352,5.8765,5.7674,5.568,5.65,5.7575,5.9104,5.3582,5.4161,5.4508,5.5633,6.14,7.0512,7.3869,7.344,7.2586
United Kingdom,GBR,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,16698.341764666,17022.7423409092,17428.6011592458,18248.570164266,19312.176903805,20434.784659712,21760.0085448451,22959.3321160585,23515.1613745499,24209.6508992015,26255.1272826071,27512.3435619714,28881.9407301401,30126.1618501897,31788.4687488091,32492.2596146689,34554.3574126811,35407.5388142509,36426.5025155876,34769.3963199093,36012.6768827442,36820.321718188,37911.2580495317,39505.3532695162,40867.4760340878,737.7344,745.6428,721.3853,702.7208,692.3,674.5566,690.0033,660.5242,657.3484,648.5991,648.3754,656.1518,635.5173,643.619,640.3039,634.5543,634.8797,620.9046,605.2281,554.5052,571.7307,533.3438,557.5926,546.2641,506.1109
Georgia,GEO,4802000,4835900,4873500,4911100,4836076,4657722,4491699,4349913,4243607,4157192,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,5181.28098189883,4196.65136406002,2346.80452837128,1685.49770500321,1566.3833898871,1703.63765049846,2000.43795245584,2322.29488380826,2482.00623367457,2643.92461230069,2806.77384271836,3053.17146538608,3300.71792318512,3759.11360420494,4109.37200613649,4673.3180506174,5298.3145661251,6157.05230256549,6448.18363335196,6316.00442119158,6838.62363066002,7545.93946556889,8239.54408736673,8694.22063483952,9263.94733018194,48.0278,38.5032,31.4264,25.5361,18.1399,14.4429,13.0313,12.6004,12.4341,12.4071,13.1158,11.6809,10.9371,10.9617,11.0619,11.7051,12.0977,12.7628,11.85,12.6749,12.3058,13.8853,14.7281,15.1286,16.3822
Ghana,GHA,14773277,15207367,15653336,16106765,16561674,17014057,17462496,17908985,18357156,18812359,19278856,19756928,20246381,20750299,21272323,21814642,22379055,22963946,23563825,24170940,24779619,25387710,25996449,26607642,27224472,1233.45059749812,1304.19306695251,1346.18455340096,1404.23979126036,1440.86034921056,1490.84687309662,1547.23629854396,1599.07792596946,1651.74984568802,1706.9956921544,1765.93533565202,1831.44101050393,1897.12951839581,1983.47647758873,2098.15670953522,2234.20145414269,2387.35854743562,2492.8979849794,2703.3026268997,2784.13827920545,2964.4311195952,3368.80083733842,3664.60015273165,3909.66952298749,4006.18647505615,12.4027,12.5031,13.0577,13.3402,13.7684,14.1717,14.6656,15.1213,18.135,17.6839,18.1403,19.206,19.964,20.7762,18.953,22.1928,23.1669,22.9547,22.6954,23.8792,25.4236,27.519,29.1166,30.8917,30.2599
Guinea,GIN,6352283,6534939,6716038,6897166,7081116,7269625,7463782,7662075,7860781,8054743,8240730,8417081,8586074,8753093,8925743,9109581,9307425,9518162,9738792,9964469,10192176,10420471,10652029,10892810,11150977,871.363949706389,898.53700303813,923.482361703057,966.969040684574,1000.15244498601,1040.47513672511,1078.00674756778,1123.5668383208,1147.84978628886,1179.70159179139,1208.36077169451,1253.22205544745,1312.44244782302,1327.68078945447,1368.34073482233,1423.92645810181,1452.77847142632,1558.37232079896,1616.9224116784,1574.55279605069,1632.38634891935,1721.45135851714,1817.88046825629,1880.07014143229,1940.66532747979,7.5107,7.8168,8.141,8.4901,9.0147,9.4157,9.6006,9.8293,10.7361,10.4702,11.0554,11.2261,12.5542,12.1169,12.5029,12.9733,13.4348,13.3382,14.8425,14.7574,15.2549,15.3509,16.3306,16.4436,16.0351
"Gambia, The",GMB,955593,992673,1027475,1060862,1094212,1128575,1164091,1200526,1238125,1277133,1317703,1360074,1404261,1449925,1496527,1543741,1591445,1639848,1689285,1740279,1793196,1848147,1905011,1963711,2024042,937.868478749064,962.367416183275,983.089276932911,1004.06822826726,995.787453301873,994.404291336255,1003.54664796719,1038.37329181521,1053.80850724991,1102.69959467356,1152.73607180588,1207.51770026867,1149.40988488719,1211.781500867,1290.65295621832,1278.0038960625,1291.56822609874,1333.85187703403,1395.69995163721,1453.17802687495,1519.84092257255,1440.79435802955,1504.36842304573,1556.1264872031,1523.84172992553,3.7253,3.8737,3.9794,4.0936,4.2409,4.3854,4.5185,4.5959,4.7762,4.8859,5.0749,5.2314,5.3617,5.5516,5.8099,5.9338,6.1611,6.2786,6.5483,6.9199,7.1637,7.0464,7.2101,7.4069,7.6859
Guinea-Bissau,GNB,975261,997522,1020350,1043423,1066346,1088854,1110833,1132510,1154371,1177131,1201301,1227106,1254453,1283305,1313492,1344930,1377581,1411543,1446936,1483921,1522599,1562989,1604979,1648257,1692439,1060.09314139385,1126.13127231053,1138.41228139842,1163.54645570028,1200.05704281762,1252.6886582084,1395.43097181767,1482.82463333395,1057.73338519637,1063.04957004109,1122.74178944396,1147.82678812106,1129.32775165117,1130.83127657616,1165.91743326328,1224.22226907387,1259.81238283393,1303.72463284829,1338.11014246306,1358.99826105555,1401.69245596053,1506.69531157217,1469.8050436072,1503.74588623477,1506.58951397135,1.2297,1.2423,1.2751,1.2979,1.3183,1.3447,1.363,1.3484,1.3148,1.4406,1.4026,1.5027,1.5169,1.5965,1.4673,1.432,1.6731,1.5966,1.6392,1.6866,1.8409,1.8658,2.0272,1.9723,2.0245
Equatorial Guinea,GNQ,419188,432853,447266,462637,479098,496768,515853,536460,558492,581770,606181,631666,658384,686664,716949,749535,784496,821687,860840,901599,943639,986853,1031191,1076413,1122276,660.453110540273,654.473292738511,872.903529698638,959.211395070383,1103.72632620424,1276.82536906058,2085.7494875597,5099.98499769916,6131.70391398072,7503.83483878099,8703.66145617804,13945.636001756,16236.6009783343,18069.8993278574,24525.8652415891,28241.9280724357,29941.858973385,33840.5510028477,38790.9039787146,37820.9548141287,33294.6534967118,34622.1162657965,36576.0904309759,34180.7115321198,33542.7650820493,0.1654,0.2825,0.3373,1.2488,1.2229,1.3584,3.0585,4.5116,5.6095,7.2197,8.5259,10.4919,12.6546,16.2762,18.6908,19.5562,20.1669,20.0663,19.8013,20.4282,20.2893,20.3445,20.728,20.5142,20.5799
Greece,GRC,10196792,10319927,10399061,10460415,10512922,10562153,10608800,10661259,10720509,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,13291.0519806131,13997.4289705354,14306.9225541458,14327.0317723169,14851.0923633959,15408.6922076556,16129.2531431784,17154.1299750295,18033.517680255,18464.7321030753,19518.9075076684,20963.5603634318,22615.9356489706,23870.1600997422,25437.2684267066,25577.5240795599,28519.5389434167,29291.9236888183,30856.0118268477,30365.3999269637,28148.4224229962,26141.3195918975,25284.4640766238,26097.8719008736,26838.4552283268,96.2069,95.9054,97.7708,98.6833,100.9206,104.7927,105.1597,106.2303,109.6191,109.4327,117.2965,118.3838,117.6971,121.0948,120.2849,121.3044,119.6097,123.1803,117.3116,110.735,103.3464,100.9196,94.5859,87.4638,84.1137
